,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f44f,128079,clapping hands sign, , ,clapping,👏
1f450,128080,open hands sign, , ,,👐
1f451,128081,crown, , ,crown,👑
1f452,128082,womans hat, , ,hat,👒
1f453,128083,eyeglasses, , ,glasses,👓
1f454,128084,necktie, , ,tie,👔
1f455,128085,tshirt, , ,mensfashion,👕
1f456,128086,jeans, , ,jeans,👖
1f457,128087,dress, , ,dress,👗
1f458,128088,kimono, , ,kimono,👘
1f459,128089,bikini, , ,bikini,👙
1f45a,128090,womans clothes, , ,ladiesfashion,👚
1f45b,128091,purse, , ,wallet,👛
1f45c,128092,handbag, , ,briefcase,👜
1f45d,128093,pouch, , ,,👝
1f45e,128094,mans shoe, , ,mensshoe,👞
1f45f,128095,athletic shoe, , ,sneakers,👟
1f460,128096,highheeled shoe, , ,shoe,👠
1f461,128097,womans sandal, , ,,👡
1f462,128098,womans boots, , ,boots,👢
1f463,128099,footprints, , ,footprint,👣
1f464,128100,bust in silhouette, , ,,👤
1f466,128102,boy, , ,,👦
1f467,128103,girl, , ,,👧
1f468,128104,man, , ,head1,👨
1f469,128105,woman, , ,smallface,👩
1f46a,128106,family, , ,family,👪
1f46b,128107,man and woman holding hands, , ,,👫
1f46e,128110,police officer, , ,policeman,👮
1f46f,128111,woman with bunny ears, , ,bunnygirl,👯
1f470,128112,bride with veil, , ,bride,👰
1f471,128113,person with blond hair, , ,whiterace,👱
1f472,128114,man with gua pi mao, , ,chinese,👲
1f473,128115,man with turban, , ,indian,👳
1f474,128116,older man, , ,grandfather,👴
1f475,128117,older woman, , ,grandmother,👵
1f476,128118,baby, , ,baby,👶
1f477,128119,construction worker, , ,contractor,👷
1f478,128120,princess, , ,princess,👸
1f479,128121,japanese ogre, , ,namahage,👹
1f47a,128122,japanese goblin, , ,tengu,👺
1f47b,128123,ghost, , ,ghost,👻
1f47c,128124,baby angel, , ,angel,👼
1f47d,128125,extraterrestrial alien, , ,ufo,👽
1f47e,128126,alien monster, , ,alien,👾
1f47f,128127,imp, , ,devil,👿
1f480,128128,skull, , ,skeelton,💀
1f481,128129,information desk person, , ,,💁
1f482,128130,guardsman, , ,,💂
1f483,128131,dancer, , ,dance,💃
1f484,128132,lipstick, , ,rouge,💄
1f485,128133,nail polish, , ,nail,💅
1f486,128134,face massage, , ,estheticsalon,💆
1f487,128135,haircut, , ,beautyparlor,💇
1f488,128136,barber pole, , ,barbershop,💈
1f489,128137,syringe, , ,syringe,💉
1f48a,128138,pill, , ,medicine,💊
1f48b,128139,kiss mark, , ,kissmark,💋
1f48c,128140,love letter, , ,envelope3,💌
1f48d,128141,ring, , ,gem,💍
1f48e,128142,gem stone, , ,,💎
1f48f,128143,kiss, , ,kiss,💏
1f490,128144,bouquet, , ,flowers,💐
1f491,128145,couple with heart, , ,couple,💑
1f492,128146,wedding, , ,,💒
1f493,128147,beating heart, , ,heart8,💓
1f494,128148,broken heart, , ,heart2,💔
1f495,128149,two hearts, , ,heart3,💕
1f496,128150,sparkling heart, , ,heart7,💖
1f497,128151,growing heart, , ,,💗
1f498,128152,heart with arrow, , ,heart5,💘
1f499,128153,blue heart, , ,blueheart,💙
1f49a,128154,green heart, , ,greenheart,💚
1f49b,128155,yellow heart, , ,yellowheart,💛
1f49c,128156,purple heart, , ,purpleheart,💜
1f49d,128157,heart with ribbon, , ,heart4,💝
1f49e,128158,revolving hearts, , ,lovely,💞
1f49f,128159,heart decoration, , ,,💟
1f4a0,128160,diamond shape with a dot inside, , ,,💠
1f4a1,128161,electric light bulb, , ,lightbulb,💡
1f4a2,128162,anger symbol, , ,anger,💢
1f4a3,128163,bomb, , ,bomb,💣
1f4a4,128164,sleeping symbol, , ,sleepy,💤
1f4a5,128165,collision symbol, , ,impact,💥
1f4a6,128166,splashing sweat symbol, , ,sweat,💦
1f4a7,128167,droplet, , ,drip,💧
1f4a8,128168,dash symbol, , ,dash,💨
1f4a9,128169,pile of poo, , ,bigjob,💩
1f4aa,128170,flexed biceps, , ,power,💪
1f4ab,128171,dizzy symbol, , ,sign5,💫
1f4ac,128172,speech balloon, , ,voiceballoon,💬
1f4ae,128174,white flower, , ,flowercircle,💮
1f4af,128175,hundred points symbol, , ,fullmarks,💯
1f4b0,128176,money bag, , ,win,💰
1f4b1,128177,currency exchange, , ,,💱
1f4b2,128178,heavy dollar sign, , ,dollarsign,💲
1f4b3,128179,credit card, , ,creditcard,💳
1f4b4,128180,banknote with yen sign, , ,check,💴
1f4b5,128181,banknote with dollar sign, , ,dollar,💵
1f4b8,128184,money with wings, , ,bill,💸
1f4b9,128185,chart with upwards trend and yen sign, , ,stock,💹
1f4ba,128186,seat, , ,,💺
